PCD;NominalSize1;Table1;NominalSize2;Table2;NominalSize3;Table3;NominalSize4;Table4;NominalSize5;Table5;NominalSize6;Table6;NominalSize7;Table7;NominalSize8;Table8;NominalSize9;Table9;NominalSize10;Table10
49.8;55;15;6/3;15;600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
49.9;55;15;6/3;15;600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
55;55;15;6/3;15;600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
55.1;55;15;6/3;15;600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
55.2;55;15;6/3;15;600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
60.1;60.3;15;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
60.2;60.3;15;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
60.3;60.3;15;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
60.4;60.3;15;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
60.5;60.3;15;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
64.8;65;15;10/3;15;16/3;15;25/3;15;40/3;15;1000/3;15;1600/3;15;2500/3;15;4000/3;20;6/3;20;600/3
64.9;65;15;10/3;15;16/3;15;25/3;15;40/3;15;1000/3;15;1600/3;15;2500/3;15;4000/3;20;6/3;20;600/3
65;65;15;10/3;15;16/3;15;25/3;15;40/3;15;1000/3;15;1600/3;15;2500/3;15;4000/3;20;6/3;20;600/3
65.1;65;15;10/3;15;16/3;15;25/3;15;40/3;15;1000/3;15;1600/3;15;2500/3;15;4000/3;20;6/3;20;600/3
65.2;65;15;10/3;15;16/3;15;25/3;15;40/3;15;1000/3;15;1600/3;15;2500/3;15;4000/3;20;6/3;20;600/3
66.5;66.7;15;D/3;15;E/3;15;F/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-
66.6;66.7;15;D/3;15;E/3;15;F/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-
66.7;66.7;15;D/3;15;E/3;15;F/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-
66.8;66.7;15;D/3;15;E/3;15;F/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-
66.9;66.7;15;D/3;15;E/3;15;F/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-
69.6;69.8;20;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
69.7;69.8;20;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
69.8;69.8;20;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
69.9;69.8;20;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
70;69.8;20;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
72.8;73;20;D/3;20;E/3;20;F/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-
72.9;73;20;D/3;20;E/3;20;F/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-
73;73;20;D/3;20;E/3;20;F/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-
73.1;73;20;D/3;20;E/3;20;F/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-
73.2;73;20;D/3;20;E/3;20;F/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-
74.8;75;20;10/3;20;16/3;20;25/3;20;40/3;20;1000/3;20;1600/3;20;2500/3;20;4000/3;25;6/3;25;600/3
74.9;75;20;10/3;20;16/3;20;25/3;20;40/3;20;1000/3;20;1600/3;20;2500/3;20;4000/3;25;6/3;25;600/3
75;75;20;10/3;20;16/3;20;25/3;20;40/3;20;1000/3;20;1600/3;20;2500/3;20;4000/3;25;6/3;25;600/3
75.1;75;20;10/3;20;16/3;20;25/3;20;40/3;20;1000/3;20;1600/3;20;2500/3;20;4000/3;25;6/3;25;600/3
75.2;75;20;10/3;20;16/3;20;25/3;20;40/3;20;1000/3;20;1600/3;20;2500/3;20;4000/3;25;6/3;25;600/3
79.2;79.4;25;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
79.3;79.4;25;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
79.4;79.4;25;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
79.5;79.4;25;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
79.6;79.4;25;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
82.4;82.6;25;D/3;25;E/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
82.5;82.6;25;D/3;25;E/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
82.6;82.6;25;D/3;25;E/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
82.7;82.6;25;D/3;25;E/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
82.8;82.6;25;D/3;25;E/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
84.8;85;25;10/3;25;16/3;25;25/3;25;40/3;25;1000/3;25;1600/3;25;2500/3;25;4000/3;-;-;-;-
84.9;85;25;10/3;25;16/3;25;25/3;25;40/3;25;1000/3;25;1600/3;25;2500/3;25;4000/3;-;-;-;-
85;85;25;10/3;25;16/3;25;25/3;25;40/3;25;1000/3;25;1600/3;25;2500/3;25;4000/3;-;-;-;-
85.1;85;25;10/3;25;16/3;25;25/3;25;40/3;25;1000/3;25;1600/3;25;2500/3;25;4000/3;-;-;-;-
85.2;85;25;10/3;25;16/3;25;25/3;25;40/3;25;1000/3;25;1600/3;25;2500/3;25;4000/3;-;-;-;-
87.1;87.3;32;D/3;32;E/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
87.2;87.3;32;D/3;32;E/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
87.3;87.3;32;D/3;32;E/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
87.4;87.3;32;D/3;32;E/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
87.5;87.3;32;D/3;32;E/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
88.7;88.9;32;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
88.8;88.9;32;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
88.9;88.9;32;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
89;88.9;32;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
89.1;88.9;32;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
