NominalSize;Table;T;HolesNo;HolesD.;PCD
15;6/3;12;4;11;55
15;10/3;14;4;14;65
15;16/3;14;4;14;65
15;25/3;14;4;14;65
15;40/3;14;4;14;65
15;600/3;10;4;11;55
15;1000/3;10;4;14;65
15;1600/3;10;4;14;65
15;2500/3;14;4;14;65
15;4000/3;14;4;14;65
15;D/3;9.5;4;14,3;66.7
15;E/3;9.5;4;14,3;66.7
15;F/3;9.5;4;14,3;66.7
15;ASA 150;11.1;4;15.9;60.3
20;6/3;14;4;11;65
20;10/3;16;4;14;75
20;16/3;16;4;14;75
20;25/3;16;4;14;75
20;40/3;16;4;14;75
20;600/3;10;4;11;65
20;1000/3;10;4;14;75
20;1600/3;10;4;14;75
20;2500/3;14;4;14;75
20;4000/3;14;4;14;75
20;D/3;9.5;4;14.2;73
20;E/3;9.5;4;14.2;73
20;F/3;9.5;4;14.2;73
20;ASA 150;12,7;4;15.8;69.8
25;6/3;14;4;11;75
25;10/3;16;4;14;85
25;16/3;16;4;14;85
25;25/3;16;4;14;85
25;40/3;16;4;14;85
25;600/3;10;4;11;75
25;1000/3;10;4;14;85
25;1600/3;10;4;14;85
25;2500/3;16;4;14;85
25;4000/3;16;4;14;85
25;D/3;9.5;4;14.3;82.6
25;E/3;9.5;4;14.3;82.6
25;F/3;9.5;4;17.5;87.3
25;ASA 150;14.3;4;15.9;79.4
32;6/3;16;4;14;90
32;10/3;18;4;18;100
32;16/3;18;4;18;100
32;25/3;18;4;18;100
32;40/3;18;4;18;100
32;600/3;10;4;14;90
32;1000/3;10;4;18;100
32;1600/3;10;4;18;100
32;2500/3;18;4;18;100
32;4000/3;18;4;18;100
32;D/3;9.5;4;14.2;87.3
32;E/3;9.5;4;14.2;87.3
32;F/3;12.7;4;17.5;98.4
32;ASA 150;15.9;4;15.9;88.9
40;6/3;16;4;14;100
40;10/3;18;4;18;110
40;16/3;18;4;18;110
40;25/3;18;4;18;110
40;40/3;18;4;18;110
40;600/3;10;4;14;100
40;1000/3;10;4;18;110
40;1600/3;10;4;18;110
40;2500/3;20;4;18;110
40;4000/3;20;4;18;110
40;D/3;9.5;4;14.2;98.4
40;E/3;9.5;4;14.2;98.4
40;F/3;12.7;4;17.5;104.8
40;ASA 150;17.5;4;15.9;98.4
50;6/3;16;4;14;110
50;10/3;20;4;18;125
50;16/3;20;4;18;125
50;25/3;20;4;18;125
50;40/3;20;4;18;125
50;600/3;10;4;14;110
50;1000/3;10;4;18;125
50;1600/3;12;4;18;125
50;2500/3;20;4;18;125
50;4000/3;20;4;18;125
50;D/3;9.5;4;17.5;114.3
50;E/3;9.5;4;17.5;114.3
50;F/3;15.9;4;17.5;127
50;ASA 150;19;4;19;120.6
65;6/3;16;4;14;130
65;10/3;20;4;18;145
65;16/3;20;4;18;145
65;25/3;22;8;18;145
65;40/3;22;8;18;145
65;600/3;10;4;14;130
65;1000/3;12;4;18;145
65;1600/3;12;4;18;145
65;2500/3;22;8;18;145
65;4000/3;22;8;18;145
65;D/3;9.5;4;17.5;127
65;E/3;10.3;4;17.5;127
65;F/3;15.9;8;17.5;146
65;ASA 150;22.2;4;19;139.7
80;6/3;18;4;18;150
80;10/3;20;8;18;160
80;16/3;20;8;18;160
80;25/3;24;8;18;160
80;40/3;24;8;18;160
80;600/3;10;4;18;150
80;1000/3;12;8;18;160
80;1600/3;14;8;18;160
80;2500/3;22;8;18;160
80;4000/3;22;8;18;160
80;D/3;9.5;4;17.5;146
80;E/3;11.1;4;17.5;146
80;F/3;15.9;8;17.5;165.1
80;ASA 150;23.8;4;19;152.4
100;6/3;18;4;18;170
100;10/3;22;8;18;180
100;16/3;22;8;18;180
100;25/3;26;8;22;190
100;40/3;26;8;22;190
100;600/3;10;4;18;170
100;1000/3;12;8;18;180
100;1600/3;14;8;18;180
100;2500/3;25;8;22;190
100;4000/3;25;8;22;190
100;D/3;9.5;4;17.5;177.8
100;E/3;12.7;8;17.5;177.8
100;F/3;19;8;17.5;190.5
100;ASA 150;23.8;8;19;190.5
125;6/3;20;8;18;200
125;10/3;22;8;18;210
125;16/3;22;8;18;210
125;25/3;28;8;26;220
125;40/3;28;8;26;220
125;600/3;12;8;18;200
125;1000/3;14;8;18;210
125;1600/3;16;8;18;210
125;2500/3;28;8;26;220
125;4000/3;28;8;26;220
125;D/3;12.7;8;17.5;209.6
125;E/3;14.3;8;17.5;209.6
125;F/3;22;8;22.2;234.9
125;ASA 150;23.8;8;22.2;215.9
150;6/3;20;8;18;225
150;10/3;24;8;22;240
150;16/3;24;8;22;240
150;25/3;30;8;26;250
150;40/3;30;8;26;250
150;600/3;12;8;18;225
150;1000/3;16;8;22;240
150;1600/3;18;8;22;240
150;2500/3;30;8;26;250
150;4000/3;30;8;26;250
150;D/3;12.7;8;17.5;235
150;E/3;17.5;8;22.2;235
150;F/3;22.2;12;22.2;260.4
150;ASA 150;25.4;8;22.2;241.3
200;6/3;22;8;18;280
200;10/3;24;8;22;295
200;16/3;26;12;22;295
200;25/3;32;12;26;310
200;40/3;36;12;30;320
200;600/3;14;8;18;280
